year,race,education,age,population,mortality
2000,White,H.S.,83,253991,0.09932501055282432
2000,White,H.S.,84,225536,0.12010600125520748
2000,White,Some college,30,880725,0.0005546250351508322
2000,White,Some college,31,809112,0.0006013470177626867
2000,White,Some college,32,782952,0.0006202234279204607
2000,White,Some college,33,751574,0.0006743732156043864
2000,White,Some college,34,776511,0.0007100549965399899
2000,White,Some college,35,921281,0.0008096987572649772
2000,White,Some college,36,911836,0.000848137945787368
2000,White,Some college,37,974306,0.0009529555134360295
2000,White,Some college,38,960513,0.0009039557015913546
2000,White,Some college,39,922419,0.001017447487808141
2000,White,Some college,40,975685,0.001198185335052577
2000,White,Some college,41,947560,0.0013016060541262962
2000,White,Some college,42,995801,0.0013872432205350642
2000,White,Some college,43,1000269,0.001454882856886432
2000,White,Some college,44,960538,0.001613015120495569
2000,White,Some college,45,974766,0.0017898246605316222
2000,White,Some college,46,921714,0.001966064019726921
2000,White,Some college,47,900781,0.002342304688544136
2000,White,Some college,48,878184,0.00220392640663435
2000,White,Some college,49,885114,0.0023667804449924567
2000,White,Some college,50,845671,0.0029454167918792607
2000,White,Some college,51,756337,0.003195502866971536
2000,White,Some college,52,787084,0.0033747636948141388
2000,White,Some college,53,880655,0.003986381146787854
2000,White,Some college,54,565170,0.0038051642961115227
2000,White,Some college,55,565812,0.004300231833615156
2000,White,Some college,56,587538,0.005258699217206053
2000,White,Some college,57,620724,0.005019580083233467
2000,White,Some college,58,503994,0.005934819440835489
2000,White,Some college,59,474581,0.005410561329661842
2000,White,Some college,60,452038,0.006540970030173238
2000,White,Some college,61,396799,0.0063395498076962
2000,White,Some college,62,390337,0.007378651957401562
2000,White,Some college,63,375739,0.009053645797618968
2000,White,Some college,64,380071,0.009183933861737537
2000,White,Some college,65,375981,0.009693324459650316
2000,White,Some college,66,292360,0.010364266272418073
2000,White,Some college,67,334208,0.012089364053655538
2000,White,Some college,68,340155,0.012974004750985913
2000,White,Some college,69,310329,0.015553859094711112
2000,White,Some college,70,314564,0.01581713817124987
2000,White,Some college,71,274334,0.015595154839056055
2000,White,Some college,72,296510,0.019032874498217545
2000,White,Some college,73,277058,0.021510296664676114
2000,White,Some college,74,256708,0.02332502193446147
2000,White,Some college,75,242247,0.027753866712021714
2000,White,Some college,76,228587,0.02898578653456451
2000,White,Some college,77,233232,0.03509645017223018
2000,White,Some college,78,230887,0.04012739495352654
2000,White,Some college,79,213901,0.04031742303718447
2000,White,Some college,80,182199,0.04625293353242879
2000,White,Some college,81,119772,0.05440777000163267
2000,White,Some college,82,130853,0.06132408880931835
2000,White,Some college,83,110828,0.06317279568367892
2000,White,Some college,84,108755,0.07145932503208245
2000,White,B.A.+,30,914114,0.00038283047537355765
2000,White,B.A.+,31,845738,0.00041126249536946807
2000,White,B.A.+,32,818779,0.0004149182822775594
2000,White,B.A.+,33,819136,0.0004409389728593701
2000,White,B.A.+,34,808266,0.0005072957215737412
2000,White,B.A.+,35,892777,0.0005375592697147702
2000,White,B.A.+,36,882648,0.0005845420930955809
2000,White,B.A.+,37,977133,0.0007062096673967472
2000,White,B.A.+,38,868778,0.0007156362162026006
2000,White,B.A.+,39,918662,0.0007617248100283886
2000,White,B.A.+,40,945996,0.0008755300650949604
2000,White,B.A.+,41,874745,0.0009526777504928374
2000,White,B.A.+,42,899007,0.0010165332017846348
2000,White,B.A.+,43,908817,0.0011371127398778836
2000,White,B.A.+,44,939836,0.0013518040495831725
2000,White,B.A.+,45,947110,0.0013339861415944795
2000,White,B.A.+,46,943462,0.0016821501890208644
2000,White,B.A.+,47,937058,0.0018886337385334165
2000,White,B.A.+,48,936601,0.002045731116785813
2000,White,B.A.+,49,910087,0.0021777122577010285
2000,White,B.A.+,50,914508,0.0023807498862910446
2000,White,B.A.+,51,857341,0.002899895008359517
2000,White,B.A.+,52,889410,0.00288308660977945
2000,White,B.A.+,53,878308,0.003705834543528343
2000,White,B.A.+,54,663703,0.003753111924611214
2000,White,B.A.+,55,607237,0.0036326700176705804
2000,White,B.A.+,56,596270,0.0042764319136371996
2000,White,B.A.+,57,610543,0.005041750824997292
2000,White,B.A.+,58,537601,0.0054924306758975605
2000,White,B.A.+,59,440687,0.005889933828728092
2000,White,B.A.+,60,408397,0.006929332979592514
2000,White,B.A.+,61,401394,0.007077513839855282
2000,White,B.A.+,62,353119,0.008564903276284333
2000,White,B.A.+,63,331767,0.008465556911005184
2000,White,B.A.+,64,331538,0.010275989903465491
2000,White,B.A.+,65,315404,0.010948281196577236
2000,White,B.A.+,66,282080,0.012964234224646702
2000,White,B.A.+,67,275912,0.013305839902238473
2000,White,B.A.+,68,287972,0.014862581754622978
2000,White,B.A.+,69,294610,0.01700474926300054
2000,White,B.A.+,70,256176,0.017954637833485613
2000,White,B.A.+,71,230495,0.019503880626141817
2000,White,B.A.+,72,273368,0.022651127762213757
2000,White,B.A.+,73,247542,0.027518151070646757
2000,White,B.A.+,74,214788,0.027963124666185352
2000,White,B.A.+,75,225562,0.03384304940777198
2000,White,B.A.+,76,195659,0.032074091322606066
2000,White,B.A.+,77,193241,0.03954127428730806
2000,White,B.A.+,78,150803,0.04240497217516535
2000,White,B.A.+,79,154450,0.05001736627658598
2000,White,B.A.+,80,147527,0.05338882208839153
2000,White,B.A.+,81,111541,0.06353642393326167
2000,White,B.A.+,82,103346,0.07494459684861918
2000,White,B.A.+,83,91722,0.08371092488187333
2000,White,B.A.+,84,80574,0.09461737121476135
2000,Black,Less than H.S.,30,48016,0.005082150529093513
2000,Black,Less than H.S.,31,41800,0.0046129836660096
2000,Black,Less than H.S.,32,44219,0.005021076365314785
2000,Black,Less than H.S.,33,45436,0.005533912876584997
2000,Black,Less than H.S.,34,57487,0.005207056161766855
2000,Black,Less than H.S.,35,71547,0.005717940649288159
2000,Black,Less than H.S.,36,44860,0.006433280209717041
2000,Black,Less than H.S.,37,45771,0.006978174395894877
2000,Black,Less than H.S.,38,62821,0.007680775441736349
2000,Black,Less than H.S.,39,53832,0.008170370776717763
2000,Black,Less than H.S.,40,61516,0.008482692430688134
2000,Black,Less than H.S.,41,43450,0.009023423650291918
2000,Black,Less than H.S.,42,60668,0.00918868956030708
2000,Black,Less than H.S.,43,55786,0.010568055276944524
2000,Black,Less than H.S.,44,58337,0.010547961136997469
2000,Black,Less than H.S.,45,60353,0.012019709698354988
2000,Black,Less than H.S.,46,57554,0.012200571848164829
2000,Black,Less than H.S.,47,67509,0.012332592383107488
2000,Black,Less than H.S.,48,52758,0.011740380725304892
2000,Black,Less than H.S.,49,49382,0.011811412361068542
2000,Black,Less than H.S.,50,58612,0.012098795984476426
2000,Black,Less than H.S.,51,75977,0.012095608109225189
