id,word_count,title_ep,imdb_rating,season_num,episode_num,description,num_ratings,air_date,num_char
S18e2,3274,Bri-Da,5.9,S18,2,"
Peter and the guys use Joe's body cams to remember the million-dollar ideas they have while drinking; Quagmire must come to terms with an unexpected family development.",1037,2019-10-06,NA
S18e3,2794,Absolutely Babulous,6.5,S18,3,"
Stewie wins a participation award in his school's toddler games, leading him to question everything he's ever won; Peter causes a fight between Lois' parents and has to repair the damage.",907,2019-10-13,NA
S18e4,3088,Disney's The Reboot,7.2,S18,4,"
The network decides to reboot FAMILY GUY and the feedback takes surprising turns when three versions are shown to a focus group.",1157,2019-10-20,NA
S18e5,3087,Cat Fight,6.8,S18,5,"
Brian tries to shut down Quagmire's cat café; Lois decides to send Meg and Chris to church camp when they get in trouble at school.",906,2019-11-03,NA
S18e6,3453,Peter & Lois' Wedding,7,S18,6,"
When the Wi-Fi goes out, Peter and Lois tell the kids the story of how they met and fell in love in this spoof of the '90s sitcom Friends and everything else '90s.",949,2019-11-10,NA
S18e7,2841,Heart Burn,6.7,S18,7,"
To celebrate Peter and Lois' wedding anniversary, the Griffins present their own versions of three well-known love stories.",873,2019-11-17,NA
S19e1,2994,Stewie's First Word,6.7,S19,1,"
Stewie finally says his first word - and it's a swear, leaving Lois shunned by the other moms, so she tries to figure out where Stewie could've heard it.",1045,2020-09-27,NA
S19e2,3165,The Talented Mr. Stewie,6.3,S19,2,"
Stewie ""breaks up with"" Rupert after learning that he used to belong to Chris and decides to take action.",931,2020-10-04,NA
S19e3,2815,Boys & Squirrels,5.9,S19,3,"
When Peter hurts himself and a family of squirrels in a chainsaw accident, Chris and Stewie nurse one of the squirrels back to health; a chiropractor realigns Peter's spine and restores him to his true height.",926,2020-10-11,NA
S19e4,3078,CutawayLand,6.3,S19,4,"
Peter and Lois get transported into a cutaway that they inadvertently set up at the same time.",928,2020-11-01,NA
S19e5,3112,La Famiglia Guy,6.9,S19,5,"
Peter becomes a real gangster when Joe asks him to be the godfather of his daughter.",953,2020-11-08,NA
S19e6,2943,Meg's Wedding,6.4,S19,6,"
Meg plans her wedding to an unexpected resident of Quahog; Peter loses his arms on one of his many adventures after finding a new vest.",808,2020-11-15,NA
S19e7,2634,Wild Wild West,7,S19,7,"
Peter seeks out the cousin of the late Adam West when he disapproves of Lois' first choice to be the next mayor of Quahog.",899,2020-11-22,NA
S20e1,3093,LASIK Instinct,6.4,S20,1,"
Lois decides to get LASIK surgery, but exploits her failing vision for personal gain; Peter, Chris, Stewie, and Brian must partake in activities with Doug that his father neglects.",861,2021-09-26,NA
S20e2,3171,Rock Hard,6.1,S20,2,"
While at an old record store, Peter and the guys tell stories of three rock legends: Jim Morrison, Muddy Waters, and Elton John.",775,2021-10-03,NA
S20e3,2937,Must Love Dogs,6.9,S20,3,"
Quagmire pretends Brian is his dog when he meets an avid dog lover; Chris helps Stewie retrieve his stolen Halloween candy.",730,2021-10-10,NA
S20e4,3003,80's Guy,6.7,S20,4,"
Peter's nostalgia for the '80s compels him to recreate iconic movie scenes from that decade; Stewie competes with Doug to retrieve a frisbee from the top of the jungle gym.",702,2021-10-17,NA
S20e5,2744,Brief Encounter,6.5,S20,5,"
Peter and Quagmire mimic each other's behavior when they accidentally switch underwear; Stewie and Doug agree to commit each other's murders.",691,2021-10-24,NA
S20e6,3155,Cootie & The Blowhard,6.6,S20,6,"
Stewie fears he has a terminal case of ""cooties""; Peter enjoys Bonnie's cooking.",653,2021-11-07,NA
S20e7,2946,Peterschmidt Manor,6.5,S20,7,"
Peter turns the Pewterschmidt mansion into a hotel while Lois and Carter attend the funeral of Lois' childhood nanny.",629,2021-11-14,NA
